CustomerID,Age,Gender,Tenure_Months,Contract_Type,Monthly_Charges,Data_Usage_GB,Payment_Method,Customer_Service_Calls,Churn
127,35,Non-binary,72,Month-to-month,108.16,93,Credit card (automatic),0,1
128,,Female,,Month-to-month,,94,Electronic check,0,0
129,49,Male,16,Two year,85.38,129,Credit card (automatic),0,0
130,48,Male,16,Month-to-month,104.27,111,Electronic check,,0
131,46,Male,14,Month-to-month,69.78,96,Bank transfer (automatic),0,0
132,42,Male,36,Month-to-month,82.07,118,Bank transfer (automatic),16,0
133,62,Non-binary,72,Two year,43.43,,Credit card (automatic),1,0
134,18,Female,34,Two year,100.73,57,Credit card (automatic),4,0
135,75,Male,65,One year,42,90,Electronic check,,0
136,31,Non-binary,59,One year,58.6,90,Electronic check,1,0
137,26,Male,31,Two year,92.75,,Bank transfer (automatic),1,0
138,38,Female,34,Month-to-month,69.95,92,Electronic check,5,0
139,25,Male,38,One year,96.64,74,Credit card (automatic),3,0
140,27,Male,53,One year,44.8,139,Bank transfer (automatic),0,0
141,46,Female,53,One year,41.17,172,Bank transfer (automatic),0,0
142,24,Male,1,Month-to-month,54.09,86,Bank transfer (automatic),1,0
143,52,Female,41,Two year,76.88,45,Credit card (automatic),,0
144,75,Male,30,Month-to-month,69.72,14,Bank transfer (automatic),1,0
145,46,Female,23,Two year,69.24,123,Credit card (automatic),0,0
146,,Male,29,Month-to-month,98.4,40,Bank transfer (automatic),1,0
147,50,Female,36,Two year,79.53,,Credit card (automatic),,1
148,53,Female,47,One year,59.45,279.595315,Credit card (automatic),0,0
149,66,Male,,One year,116.75,102,Bank transfer (automatic),5,0
150,47,Male,44,Month-to-month,54.97,50,Electronic check,1,0
151,48,Male,31,Two year,84.83,100,,0,0
152,41,Male,12,Month-to-month,64.96,115,Credit card (automatic),1,0
153,42,Male,40,Month-to-month,53.25,86,Credit card (automatic),1,1
154,55,Male,7,Month-to-month,66.45,99,Electronic check,0,0
155,60,Female,,Two year,53.68,52,Bank transfer (automatic),5,0
156,75,Female,65,Month-to-month,,90,Credit card (automatic),0,0
157,29,Male,61,Two year,60.13,99,Bank transfer (automatic),0,0
158,18,Female,,One year,57,17,Credit card (automatic),0,1
159,30,Female,22,Month-to-month,42.4,,Credit card (automatic),0,0
160,18,Male,21,Month-to-month,104.7,35,Credit card (automatic),1,0
161,37,Male,21,Month-to-month,24.17,90,Bank transfer (automatic),3,1
162,62,Male,62,One year,20,171,Electronic check,0,0
163,53,Female,,Two year,97.57,33,Electronic check,1,1
164,58,Male,57,Month-to-month,43.89,40,Electronic check,0,0
165,51,Male,40,Month-to-month,66.34,115,Credit card (automatic),0,0
166,,Male,51,One year,32.72,142,Credit card (automatic),1,0
167,39,Female,34,Month-to-month,84.98,124,Credit card (automatic),0,0
168,44,Male,50,Two year,60.87,110,Bank transfer (automatic),0,0
169,27,Male,3,Two year,70.61,101,Bank transfer (automatic),3,0
170,39,Male,3,Month-to-month,68.3,84,Credit card (automatic),0,1
171,46,Female,31,Two year,44.23,16,Bank transfer (automatic),1,0
172,41,Male,38,Month-to-month,86.62,58,Credit card (automatic),0,0
173,60,Female,26,One year,68.08,122,Bank transfer (automatic),1,0
174,,Male,41,Month-to-month,69.43,,Credit card (automatic),0,0
175,72,Female,13,,73.94,89,Bank transfer (automatic),0,0
176,44,Male,58,Month-to-month,66.78,94,Bank transfer (automatic),0,0
177,49,Male,44,Two year,50.98,22,Electronic check,0,0
178,45,Male,42,Two year,74.11,89,Electronic check,0,0
179,64,Female,28,Month-to-month,55.17,77,Credit card (automatic),,0
180,31,Female,13,One year,20,81,Bank transfer (automatic),1,0
181,36,Male,40,Month-to-month,71.73,50,,1,0
182,51,Female,14,One year,55.72,84,Bank transfer (automatic),0,0
183,47,Male,46,Month-to-month,38.33,77,Bank transfer (automatic),1,0
184,61,Female,48,Month-to-month,61.73,62,Bank transfer (automatic),0,0
185,68,Male,41,Month-to-month,67.62,147,Bank transfer (automatic),0,1
186,81,Female,,One year,58.45,64,Credit card (automatic),3,1
187,29,Female,38,Two year,62.35,83,Credit card (automatic),2,0
188,26,Female,56,One year,96.21,36,Bank transfer (automatic),2,0
189,47,Male,12,Two year,61.67,80,Electronic check,1,0
190,45,Female,53,One year,79.63,,Bank transfer (automatic),3,0
191,68,Male,47,Two year,52.62,109,Bank transfer (automatic),1,0
192,56,Female,24,Two year,72.52,59,Bank transfer (automatic),0,0
193,37,Male,28,One year,66.01,,Electronic check,1,0
194,52,Female,18,Month-to-month,55.43,90,Electronic check,4,1
195,40,Male,43,Month-to-month,61.84,111,Credit card (automatic),,0
196,31,Female,38,Month-to-month,53.74,54,Electronic check,3,0
197,49,Female,43,Month-to-month,97.06,87,Bank transfer (automatic),0,0
198,55,Female,42,One year,74.87,-50,Credit card (automatic),2,0
199,24,Male,7,Month-to-month,85.47,21,Credit card (automatic),3,1
200,36,Female,60,Month-to-month,55.2,42,Bank transfer (automatic),0,0
201,50,Female,42,Two year,59.29,112,Credit card (automatic),1,0
202,56,Male,43,One year,37.04,53,Bank transfer (automatic),0,0
203,50,Male,39,Two year,75.57,339.7747074698942,Bank transfer (automatic),2,0
204,18,Female,23,One year,60.28,74,Bank transfer (automatic),0,0
205,51,Male,47,Month-to-month,96.25,36,Bank transfer (automatic),2,0
206,39,Female,49,Month-to-month,84.33,57,Electronic check,0,0
207,48,Male,22,One year,62.36,85,Credit card (automatic),1,0
208,59,Female,34,Two year,56.5,132,Bank transfer (automatic),0,0
209,75,Male,72,Two year,21.55,180,Electronic check,1,0
210,41,Male,24,Two year,90.69,63,Electronic check,1,1
211,,Female,55,Two year,78.84,83,Bank transfer (automatic),0,0
212,71,Male,19,,40.13,55,Electronic check,0,0
213,61,Female,,Two year,57.82,94,Credit card (automatic),0,0
214,39,Female,,Month-to-month,,44,Bank transfer (automatic),0,0
215,37,Female,72,Month-to-month,29.54,79,Bank transfer (automatic),0,0
216,42,Male,37,Two year,101.75,6,Bank transfer (automatic),0,0
217,67,Female,66,,59.09,52,Credit card (automatic),3,0
218,34,Female,,Month-to-month,79.4,96,Electronic check,0,0
219,44,Female,57,Two year,,,Bank transfer (automatic),1,0
220,64,Male,45,Two year,20,69,Electronic check,0,0
221,42,Male,3,Two year,67.8,42,Credit card (automatic),3,0
222,46,Male,18,One year,52.56,94,Bank transfer (automatic),0,1
223,,Male,29,Month-to-month,,28,Bank transfer (automatic),3,0
224,57,Female,48,One year,70.08,0,,1,0
225,49,Male,46,One year,40.77,115,Electronic check,0,0
226,75,Female,51,Month-to-month,66.16,71,Electronic check,0,1
227,18,Female,31,One year,77.89,76,Electronic check,2,0
228,,Female,12,One year,64.56,110,Credit card (automatic),2,0
229,57,Female,30,Month-to-month,37.8,78,Bank transfer (automatic),1,0
230,52,Female,,Month-to-month,49.45,85,Bank transfer (automatic),0,0
231,58,Male,29,Two year,,85,Bank transfer (automatic),2,0
232,42,Female,43,One year,75.42,98,Electronic check,0,0
233,,Male,31,Month-to-month,20,73,Bank transfer (automatic),1,1
234,45,Female,36,Month-to-month,63.28,88,Credit card (automatic),0,1
235,69,Female,38,Month-to-month,113.37,47,Electronic check,0,0
236,46,Female,32,Two year,87,55,Bank transfer (automatic),3,0
237,28,Female,25,Month-to-month,65.64,74,Electronic check,0,0
238,34,Female,35,Month-to-month,81.52,97,Bank transfer (automatic),2,0
239,67,Female,26,Two year,65.83,93,Bank transfer (automatic),0,0
240,30,Female,45,Month-to-month,84.1,86,Bank transfer (automatic),3,0
241,43,Non-binary,52,Two year,20,118,Credit card (automatic),2,0
242,46,Male,24,Month-to-month,75.93,,Electronic check,0,0
243,55,Female,67,Two year,40.65,61,Electronic check,2,0
244,18,Female,14,Two year,59.36,60,Bank transfer (automatic),0,0
245,34,Male,19,Two year,71.37,85,Bank transfer (automatic),0,0
246,49,Male,44,Month-to-month,65.19,139,Credit card (automatic),0,0
247,38,Female,19,One year,36.62,54,Electronic check,0,0
248,88,Female,45,Month-to-month,50.97,50,Bank transfer (automatic),0,0
249,,Female,19,Month-to-month,64.81,104,Credit card (automatic),1,0
250,37,Male,18,Two year,90.85,109,Bank transfer (automatic),0,1
251,75,Male,32,Two year,59.22,100,Electronic check,2,0
252,50,Female,41,Two year,71.84,106,Electronic check,0,0
253,75,Male,49,Two year,28.61,61,Electronic check,0,0
254,18,Female,40,Two year,42.19,93,Electronic check,0,0
255,60,Female,49,Month-to-month,74,53,Electronic check,4,0
256,49,Male,46,Two year,82.56,60,Bank transfer (automatic),0,0
257,19,Male,,Two year,102.06,67,Bank transfer (automatic),2,1
258,49,Male,57,Month-to-month,107.8,78,Electronic check,1,0
259,75,Male,60,Two year,61.65,80,Credit card (automatic),0,0
260,39,Female,33,Month-to-month,116.32,71,Bank transfer (automatic),4,0
261,51,Male,36,Month-to-month,80.81,88,Credit card (automatic),0,0
262,34,Male,27,Two year,98.83,15,Electronic check,1,1
263,20,Female,26,Month-to-month,94.21,,Electronic check,0,1
264,44,Female,58,Two year,88.8,34,Credit card (automatic),0,1
265,52,Male,13,Month-to-month,288.29249894647864,21,Bank transfer (automatic),2,0
266,75,Male,52,Month-to-month,83.22,118,Bank transfer (automatic),0,0
267,27,Female,38,Month-to-month,62.23,47,Bank transfer (automatic),2,0
268,32,Male,32,Two year,70.52,59,Bank transfer (automatic),2,1
269,31,Female,52,One year,63.01,63,Credit card (automatic),3,0
270,61,Male,54,One year,76.86,120,Credit card (automatic),3,0
271,32,Female,72,Two year,98.16,61,Electronic check,3,0
272,65,Female,47,Month-to-month,81.19,72,Bank transfer (automatic),0,0
273,50,Female,52,One year,57.3,43,Electronic check,2,0
274,36,Male,18,Two year,68.49,,Electronic check,4,1
275,56,Female,59,Two year,,109,Credit card (automatic),4,0
276,,Female,35,Month-to-month,69.64,96,Electronic check,0,0
277,18,Male,32,Month-to-month,81.33,88,Bank transfer (automatic),2,0
278,25,Female,34,,78.95,81,Bank transfer (automatic),,0
279,59,Female,32,Month-to-month,53.11,109,Credit card (automatic),2,0
280,43,Female,44,Month-to-month,75.29,151,Electronic check,1,0
281,49,Male,45,Two year,97.58,98,Bank transfer (automatic),5,0
282,41,Male,30,Two year,60.87,97,Bank transfer (automatic),0,0
283,,Female,10,One year,80.25,58,Bank transfer (automatic),3,0
284,75,Male,48,Two year,39.13,119,Mailed check,1,0
285,18,Female,1,Month-to-month,76.22,66,Bank transfer (automatic),0,1
286,36,Male,51,Two year,90.09,154,Credit card (automatic),0,0
287,20,Female,42,Two year,72.56,47,Electronic check,1,0
288,42,Male,62,Two year,80.12,96,Credit card (automatic),2,0
289,18,Female,1,Two year,44.44,70,Bank transfer (automatic),2,0
290,20,Non-binary,25,Two year,,113,Electronic check,0,1
291,42,Male,33,Month-to-month,94.76,83,Bank transfer (automatic),15,1
292,18,Female,34,One year,108.41,46,Credit card (automatic),0,0
293,27,Male,72,One year,79.28,72,Electronic check,1,0
294,49,Female,54,Month-to-month,76.2,122,Bank transfer (automatic),0,1
295,28,Female,28,Month-to-month,65.86,42,Credit card (automatic),0,0
296,37,Female,33,Two year,65.49,106,Bank transfer (automatic),0,1
297,46,Male,-1,Month-to-month,80.53,127,Credit card (automatic),2,1
298,65,Male,57,One year,54.81,111,Electronic check,2,0
299,85,Female,17,Month-to-month,82.22,80,Electronic check,3,1
300,49,Female,,One year,87.48,50,Credit card (automatic),2,0
301,85,Male,48,Two year,64.59,92,Bank transfer (automatic),1,0
302,59,Male,37,One year,52.02,110,Credit card (automatic),,0
303,60,Female,51,Month-to-month,,99,,0,0
304,40,Female,60,Two year,50.78,63,Credit card (automatic),0,0
305,31,Male,28,Month-to-month,94.01,140,Bank transfer (automatic),2,0
306,43,Female,32,One year,20,150,Credit card (automatic),0,0
307,43,Male,49,One year,55.2,73,Bank transfer (automatic),1,0
308,52,Female,48,Month-to-month,56.94,128,Electronic check,3,1
309,32,Male,42,Month-to-month,,64,Electronic check,0,0
310,,Male,38,Two year,80.52,74,Credit card (automatic),0,1
311,42,Female,67,Month-to-month,83.68,88,Bank transfer (automatic),0,1
312,60,Male,6,Two year,81.29,125,Electronic check,1,0
313,72,Male,,Month-to-month,25.24,78,Bank transfer (automatic),0,0
314,69,Female,66,Two year,52.1,125,Bank transfer (automatic),0,0
315,65,Female,58,One year,67.26,21,Bank transfer (automatic),4,0
316,60,Male,58,Two year,74.93,50,Bank transfer (automatic),0,1
317,64,Female,44,Two year,73.31,88,Bank transfer (automatic),0,0
318,,Male,44,One year,85.05,51,Bank transfer (automatic),0,0
319,44,Male,24,Two year,73.16,43,Bank transfer (automatic),,0
320,75,Female,11,Month-to-month,48.87,97,Bank transfer (automatic),18,0
321,51,Female,29,Month-to-month,72.87,79,Bank transfer (automatic),0,0
322,44,Female,30,Two year,63.61,42,Bank transfer (automatic),1,0
323,58,Female,39,,52,103,Bank transfer (automatic),0,0
324,18,Female,37,One year,72.44,101,Credit card (automatic),3,0
325,46,Male,32,,,-50,Bank transfer (automatic),4,0
326,68,Female,32,Month-to-month,62.41,127,Electronic check,0,0
327,52,Female,36,Two year,64.85,142,Electronic check,2,0
328,,Female,66,Two year,88.66,32,Bank transfer (automatic),3,0
329,45,Female,30,Two year,31.87,27,Electronic check,1,0
330,40,Male,33,Month-to-month,86.66,66,Electronic check,1,0
331,28,Female,29,Two year,72.58,74,Electronic check,1,0
332,51,Female,,Two year,43.08,95,Bank transfer (automatic),18,0
333,37,Male,36,Month-to-month,,63,Electronic check,0,0
334,57,Male,59,One year,45.16,156,Electronic check,,0
335,69,Female,19,Month-to-month,,0,Bank transfer (automatic),0,1
336,39,Male,34,One year,64.15,38,Bank transfer (automatic),0,0
337,27,Female,53,One year,42.93,66,Credit card (automatic),4,0
338,48,Female,72,Month-to-month,65.74,105,Electronic check,1,0
339,86,Male,42,Month-to-month,92.38,30,Bank transfer (automatic),0,0
340,54,Male,1,Two year,69.73,18,Credit card (automatic),1,0
341,72,Male,46,One year,68.64,92,Electronic check,4,0
342,61,Female,34,Month-to-month,88.51,136,Bank transfer (automatic),0,0
343,18,Male,32,Month-to-month,66.33,67,Electronic check,,0
344,44,Male,36,Two year,96.1,58,Bank transfer (automatic),0,0
345,60,Male,33,Month-to-month,84.45,124,Bank transfer (automatic),0,1
346,35,Female,3,Month-to-month,100.33,39,Electronic check,3,1
347,26,Male,60,Two year,80.27,82,Electronic check,3,0
348,,Male,25,Two year,64.16,62,Credit card (automatic),4,0
349,64,Male,22,Two year,34.38,60,Credit card (automatic),3,1
350,25,Male,17,Two year,83.54,,Electronic check,0,1
351,72,Male,46,Two year,86.6,61,Electronic check,0,1
352,64,Female,42,Two year,58.49,130,Bank transfer (automatic),0,0
353,28,Female,30,Month-to-month,94.5,61,Bank transfer (automatic),3,0
354,62,Male,26,Month-to-month,111.49,52,Electronic check,0,0
355,37,Male,1,Month-to-month,71.88,7,Credit card (automatic),0,0
356,40,Male,59,,68.15,88,Credit card (automatic),4,0
357,37,Male,31,Two year,54.09,57,Credit card (automatic),0,0
358,48,Female,72,Month-to-month,84.82,111,Electronic check,0,0
359,41,Male,42,,,13,Electronic check,0,1
360,68,Female,24,Two year,58.43,105,Electronic check,2,0
361,75,Female,38,Month-to-month,39.62,82,Electronic check,3,0
362,34,Female,41,Month-to-month,95.33,,Bank transfer (automatic),0,0
363,,Male,72,Month-to-month,85.12,74,Bank transfer (automatic),0,0
364,66,Male,38,Two year,88.1,120,Credit card (automatic),0,1
365,42,Female,1,Two year,94.89,54,Bank transfer (automatic),1,0
366,52,Male,20,Two year,73,82,Credit card (automatic),3,0
367,71,Male,46,Two year,57.98,139,Bank transfer (automatic),1,1
368,45,Male,31,Month-to-month,107.19,25,Electronic check,0,1
369,,Male,15,Two year,52.73,80,Credit card (automatic),1,1
370,53,Male,44,Month-to-month,94.79,31,,1,0
371,45,Male,56,Two year,62.86,74,Bank transfer (automatic),0,0
372,51,Male,43,Two year,41.81,99,Credit card (automatic),0,0
373,60,Female,46,Month-to-month,56,103,Electronic check,1,0
374,59,Male,72,One year,56.5,106,Electronic check,2,0
375,32,Female,31,Two year,96.46,74,Bank transfer (automatic),3,0
376,38,Female,29,One year,,109,Electronic check,0,0
377,37,Male,38,Two year,22.22,65,Bank transfer (automatic),1,0
378,,Female,67,One year,58.35,154,,0,0
379,39,Female,5,Two year,109.25,,,0,0
380,34,Male,49,Two year,,90,Bank transfer (automatic),2,0
381,42,Female,1,Month-to-month,72.77,68,Electronic check,5,0
382,19,Female,24,Two year,74.36,33,Credit card (automatic),0,0
383,18,Female,38,Month-to-month,59.1,,Bank transfer (automatic),0,0
384,42,Non-binary,56,Month-to-month,71.95,99,Credit card (automatic),1,0
385,22,Male,29,Two year,26.47,81,Credit card (automatic),2,0
386,36,Male,33,Month-to-month,103.23,108,Electronic check,0,0
387,60,Female,53,Two year,57.94,133,Credit card (automatic),0,0
388,63,Female,22,Month-to-month,62.17,35,Bank transfer (automatic),0,0
389,53,Male,1,Month-to-month,72.51,81,Electronic check,5,0
390,30,Male,27,One year,,60,Bank transfer (automatic),3,0
391,68,Male,40,One year,78.12,119,Bank transfer (automatic),1,0
392,18,Male,28,,61.6,,Electronic check,2,0
393,55,Male,15,Two year,48.45,110,,0,0
394,75,Male,54,Two year,44.05,128,Credit card (automatic),0,0
395,39,Female,38,One year,54.82,155,Credit card (automatic),5,0
396,,Male,26,Two year,65.59,43,Bank transfer (automatic),4,1
397,75,Male,47,Two year,87.55,114,Electronic check,1,0
398,49,Female,28,Two year,79.23,117,Electronic check,2,1
399,62,Male,18,Two year,59.7,70,Electronic check,1,0
400,18,Male,29,Two year,,42,Credit card (automatic),2,1
401,18,Female,37,Two year,67.27,44,Bank transfer (automatic),4,0
402,60,Non-binary,51,Month-to-month,89.27,82,Credit card (automatic),1,0
403,40,Male,21,Two year,73.15,81,Bank transfer (automatic),3,0
404,33,Male,46,Month-to-month,175.82759599859713,25,Credit card (automatic),0,0
405,56,Male,,Two year,38.03,102,Electronic check,1,0
406,54,Male,14,Month-to-month,55.94,116,Bank transfer (automatic),1,0
407,62,Male,30,Two year,58.49,217.77565602266858,Electronic check,0,1
408,68,Male,65,Month-to-month,132.8144380991786,68,Mailed check,1,0
409,53,Female,70,Two year,20,125,Electronic check,2,0
410,34,Female,33,Month-to-month,49.53,118,Credit card (automatic),0,0
411,35,Male,10,,58.45,9,Bank transfer (automatic),3,0
412,35,Male,19,Two year,80.2,36,Electronic check,,0
413,57,Male,14,Two year,89.68,57,Electronic check,0,0
414,18,Male,23,One year,23.09,56,Bank transfer (automatic),0,0
415,34,Female,37,Two year,67.6,63,Electronic check,0,0
416,,Female,45,Two year,107.55,102,Electronic check,0,0
417,36,Female,40,Two year,97.66,62,Credit card (automatic),1,0
418,61,Female,31,One year,64.63,,Bank transfer (automatic),0,0
419,35,Female,47,One year,98.29,95,Bank transfer (automatic),0,0
420,75,Female,49,Two year,56.46,97,Bank transfer (automatic),0,0
421,58,Female,63,Month-to-month,55.43,127,Credit card (automatic),0,0
422,36,Male,25,Two year,92.81,104,Bank transfer (automatic),1,0
423,64,Female,34,Month-to-month,42.92,79,Credit card (automatic),,0
424,45,Non-binary,72,One year,80.73,92,Credit card (automatic),0,1
425,75,Male,40,Two year,103.27,87,Bank transfer (automatic),0,0
426,18,Male,26,Two year,71.53,43,Bank transfer (automatic),3,1
427,48,Male,71,Two year,44.57,74,Bank transfer (automatic),1,0
428,68,Male,72,One year,94.67,234.64177557088246,Electronic check,0,0
429,52,Male,31,Month-to-month,99.39,39,Bank transfer (automatic),1,1
